sensor_id,sensor_type,ownership,gov_owned,op_hrs,datatype,description,longitude,latitude,location
1,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.050054,42.360152,null
2,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.049428,42.359373,null
3,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.049337,42.358969,null
4,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0502286,42.3587852,null
5,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.049972,42.358225,null
6,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.050361,42.357771,null
7,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.050579,42.357486,null
8,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.051812,42.35967,null
9,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.051847,42.359582,null
10,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.051062,42.359613,null
11,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.050995,42.359249,null
12,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.05153,42.359138,null
13,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.052115,42.358642,null
14,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.054819,42.362081,null
15,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.055033,42.362073,null
16,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.055087,42.36201,null
17,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0579059,42.3609712,null
18,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0578656,42.3610108,null
19,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.057683,42.361556,null
20,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.057689,42.361849,null
21,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.057364,42.361772,null
22,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.057258,42.361827,null
23,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.057059,42.361947,null
24,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.05701,42.3619739,null
25,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.056822,42.361875,null
26,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.05689,42.3620469,null
27,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.057056,42.362205,null
28,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.057094,42.362217,null
29,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.057359,42.362432,null
30,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.057547,42.3628039,null
31,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.057723,42.362586,null
32,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.05784,42.3625619,null
33,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.05796,42.362493,null
34,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.058035,42.362478,null
35,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.057912,42.362121,null
36,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.058188,42.3618189,null
37,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.058392,42.362045,null
38,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.058322,42.3626069,null
39,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.060037,42.360745,null
40,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.059865,42.360828,null
41,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.060407,42.361161,null
42,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.059793,42.362716,null
43,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.059977,42.362856,null
44,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.06131,42.362065,null
45,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0614329,42.362372,null
46,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.061303,42.362482,null
47,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.060989,42.36309,null
48,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.061002,42.363161,null
49,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.061023,42.363191,null
50,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.064613,42.360978,null
51,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.063666,42.361171,null
52,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.062911,42.361357,null
53,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.063066,42.361476,null
54,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.063668,42.361908,null
55,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.062746,42.362069,null
56,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0622829,42.3624269,null
57,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.062172,42.362636,null
58,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.062178,42.362657,null
59,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0619789,42.363122,null
60,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.061743,42.363421,null
61,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.061873,42.363452,null
62,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.062029,42.3634569,null
63,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.063666,42.361171,null
64,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.067071,42.361991,null
65,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.06706,42.361599,null
66,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.067007,42.361246,null
67,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.067548,42.361964,null
68,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.067989,42.362318,null
69,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.067962,42.3612899,null
70,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.068461,42.362283,null
71,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.068418,42.361882,null
72,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0686005,42.3619769,null
73,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.068589,42.361327,null
74,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0686319,42.361042,null
75,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.068884,42.36139,null
76,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.068783,42.362334,null
77,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.069279,42.362149,null
78,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.069631,42.361253,null
79,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.069664,42.361257,null
80,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0699529,42.3614118,null
81,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.070093,42.3614869,null
82,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.070018,42.361697,null
83,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.070966,42.360931,null
84,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0708472,42.3611697,null
85,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.070523,42.361175,null
86,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.070523,42.361207,null
87,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.070425,42.361458,null
88,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.070093,42.3614869,null
89,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.070018,42.361697,null
90,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.070334,42.361875,null
91,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0706574,42.3619166,null
92,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0706809,42.3619376,null
93,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0706393,42.362079,null
94,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0702604,42.362397,null
95,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0704018,42.3624239,null
96,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0705799,42.36243,null
97,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0702881,42.3625448,null
98,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0704756,42.3626722,null
99,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.072132,42.36143,null
100,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0727925,42.3614162,null
101,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.067676,42.367137,null
102,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.066829,42.366923,null
103,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.066578,42.366809,null
104,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.066388,42.366767,null
105,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.068212,42.366575,null
106,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.067927,42.3659869,null
107,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.067973,42.365858,null
108,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.067559,42.365601,null
109,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.06741,42.365632,null
110,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.067326,42.365607,null
111,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.066909,42.3654439,null
112,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.066698,42.366003,null
113,camera,massDOT,TRUE,unknown,picture and video,Area near the I-93 NB tunnel entrance,-71.05114,42.355307,null
114,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0525439,42.3556918,null
115,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.05256,42.3553817,null
116,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0549149,42.3559159,null
117,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0554702,42.3555869,null
118,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0556794,42.3556642,null
119,camera,unknown,unknown,unknown,picture and video,surveillance camera,-71.0557518,42.3555175,null
120,camera,massDOT,TRUE,unknown,picture and video,I-93 SB on ramp from Purchase St. at Congress St.,-71.054673,42.353849,null